partid,line,speaker,word
2,21,interviewer,there
2,21,interviewer,like
2,21,interviewer,perhaps
2,21,interviewer,more
2,21,interviewer,common
2,21,interviewer,things
2,21,interviewer,that
2,21,interviewer,you
2,21,interviewer,might
2,21,interviewer,see
2,21,interviewer,in
2,21,interviewer,takeoff
2,21,interviewer,and
2,21,interviewer,landings
2,21,interviewer,or
2,21,interviewer,is
2,21,interviewer,it
2,21,interviewer,just
2,21,interviewer,it
2,21,interviewer,could
2,21,interviewer,be
2,21,interviewer,anything
2,21,interviewer,and
2,21,interviewer,it's
2,21,interviewer,that
2,21,interviewer,central
2,21,interviewer,part
2,21,interviewer,with
2,21,interviewer,the
2,21,interviewer,hands
2,21,interviewer,that
2,21,interviewer,is
2,21,interviewer,kind
2,21,interviewer,of
2,21,interviewer,what
2,21,interviewer,makes
2,21,interviewer,it
2,21,interviewer,a
2,21,interviewer,kong
2,21,interviewer,and
2,21,interviewer,everything
2,21,interviewer,else
2,21,interviewer,is
2,21,interviewer,open
2,21,interviewer,to
2,21,interviewer,change
2,22,participant,i
2,22,participant,think
2,22,participant,everything
2,22,participant,else
2,22,participant,is
2,22,participant,open
2,22,participant,to
2,22,participant,change
2,22,participant,there
2,22,participant,are
2,22,participant,more
2,22,participant,common
2,22,participant,things
2,22,participant,i
2,22,participant,mean
2,22,participant,i'd
2,22,participant,say
2,22,participant,there's
2,22,participant,a
2,22,participant,there's
2,22,participant,a
2,22,participant,jumping
2,22,participant,element
2,22,participant,to
2,22,participant,a
2,22,participant,kong
2,22,participant,a
2,22,participant,lot
2,22,participant,of
2,22,participant,the
2,22,participant,time
2,22,participant,in
2,22,participant,the
2,22,participant,takeoff
2,22,participant,and
2,22,participant,that
2,22,participant,can
2,22,participant,either
2,22,participant,be
2,22,participant,split
2,22,participant,leg
2,22,participant,takeoff
2,22,participant,but
2,22,participant,that's
2,22,participant,still
2,22,participant,it's
2,22,participant,still
2,22,participant,a
2,22,participant,jump
2,22,participant,it's
2,22,participant,just
2,22,participant,a
2,22,participant,kind
2,22,participant,of
2,22,participant,one
2,22,participant,two
2,22,participant,type
2,22,participant,jump
2,22,participant,or
2,22,participant,or
2,22,participant,like
2,22,participant,just
2,22,participant,a
2,22,participant,two
2,22,participant,footed
2,22,participant,jump
2,22,participant,and
2,22,participant,that's
2,22,participant,if
2,22,participant,that's
2,22,participant,if
2,22,participant,the
2,22,participant,kong
2,22,participant,is
2,22,participant,kind
2,22,participant,of
2,22,participant,in
2,22,participant,in
2,22,participant,motion
2,22,participant,i
2,22,participant,suppose
2,22,participant,yeah
2,22,participant,if
2,22,participant,it's
2,22,participant,if
2,22,participant,you're
2,22,participant,running
2,22,participant,into
2,22,participant,it
2,22,participant,um
2,22,participant,then
2,22,participant,but
2,22,participant,yeah
2,22,participant,and
2,22,participant,also
2,22,participant,thinking
2,22,participant,how
2,22,participant,you
2,22,participant,might
2,22,participant,say
2,22,participant,you
2,22,participant,might
2,22,participant,precision
2,22,participant,somewhere
2,22,participant,or
2,22,participant,just
2,22,participant,be
2,22,participant,standing
2,22,participant,somewhere
2,22,participant,and
2,22,participant,then
2,22,participant,kong
2,22,participant,directly
2,22,participant,from
2,22,participant,where
2,22,participant,you
2,22,participant,are
2,22,participant,that
2,22,participant,is
2,22,participant,effectively
2,22,participant,the
2,22,participant,same
2,22,participant,thing
2,22,participant,as
2,22,participant,a
2,22,participant,two
2,22,participant,footed
2,22,participant,jump
2,22,participant,into
2,22,participant,the
2,22,participant,vault
2,22,participant,but
